text,positive_example,negative_example_1,negative_example_2,negative_example_3
You may not play a high card on an odd red card,QSJH,TC6D,TDJS,1C1H
You may not play an odd card on a heart,JD7H,9D5C,2S4H,
You may not play a high card on a club,QCTC,8S7H,2HTC,
You may not play a higher even card on a same color card,QD1H,QDJS,4D4D,KD1H
You may not play a low card on an odd black card,4D3S,2D8C,5C5H,QC5S
You may not play a face card on a black card,JD9C,QS7D,8H3C,
You may not play a higher low card on a low card,7S4D,2H3D,8D5C,
You may not play an even black card on a red card,6CTD,QC2C,5CQD,QDTH
You may not play an odd card on a face card,7SQH,5D2H,TSQH,
You may not play a lower even card on a same color card,2H4D,4D7C,TCTS,3SQC
You may not play a spade on a red card,8S5D,1SKC,QH4D,
You may not play a spade on a higher card,6STD,KS8S,1D4D,
You may not play a black card on an even red card,1CTH,3S9H,KC4C,2D2H
You may not play an odd card on a high even card,7D8S,1CJH,JS2S,2STC
You may not play a low black card on an odd card,7CJD,3S8S,TC5C,2D3S
You may not play a high even card on a black card,8HJC,TDTD,9CJC,6H6C
You may not play an even card on an even black card,2H8C,6SJS,6CQH,9CQC
You may not play a black card on a face card,1CJD,TC5H,3DQC,
You may not play a high card on a low even card,8H2C,QSQD,QD5H,4D6D
You may not play a club on an even card,3C4H,KCKS,8H4H,
You may not play a low even card on a same color card,2H1D,6C5H,QH4H,7H8H
You may not play a club on a red card,3C2D,9C8C,6S7D,
You may not play a high black card on a low card,9C4S,8STH,1S2D,QH2D
You may not play a low odd card on an even card,5CQS,5C5D,JC2C,2H2D
You may not play a same suit card on an even card,KD2D,9S6H,2D9D,
You may not play an even red card on a red card,TDQH,2D7S,KHJD,QC5D
You may not play a higher odd card on an odd card,JH1D,1D1H,9S4H,QHJS
You may not play a lower odd card on a different color card,1C9H,3D6D,3S3D,2C5D
You may not play a heart on a low card,9H4D,1HTH,1D1S,
You may not play an odd red card on a low card,JH2D,1HJC,8D6D,9S6D
You may not play a same suit card on a red card,6DKD,TS9H,2C5C,
You may not play a lower same color card on an even card,3C4S,5DQC,TS4S,TSJS
You may not play a red card on a high even card,6D8D,QHKD,7H4C,4CQS
You may not play a lower different color card on an even card,5H6C,5SQS,8H8S,4DKS
You may not play a lower even card on an odd card,4H9S,TH1H,2STD,3S5S
You may not play a low card on a spade,2CJS,7C4C,JD8S,
You may not play a lower red card on a black card,8DQC,TH8S,3D6H,3C5S
You may not play an odd card on a low black card,JD3S,KHQS,KD3D,2C2C
You may not play a different color high card on a high card,8CJH,8H8D,KC4H,5S8D
You may not play a diamond on a red card,8D5H,QD9S,TSJH,
You may not play a high red card on an even card,9H6S,9H1D,1D8D,QS4D
You may not play a different color low card on a low card,6D5S,7S6C,1DJC,JS2D
You may not play a low card on a diamond,4D1D,7DTC,KD5D,
You may not play an odd red card on a higher card,1D5C,JH1H,2H8H,5CTC
You may not play a high even card on an odd card,QC9D,QD4D,KS3S,4SKC
You may not play a different color card on a high odd card,7CJH,9SKC,KHQC,8D1C
You may not play an even card on a high odd card,8HKH,QCQS,4C1D,1SJD
You may not play a diamond on a higher card,4DTD,TD8D,7CKD,
You may not play a high odd card on a same color card,KCTC,KS9D,TS4C,1HJH
You may not play an even red card on a high card,8D8C,2H1H,3DQD,4C9S
You may not play an odd card on a low red card,7S5H,KD8D,JD1C,6C7H
You may not play a diamond on a high card,7DQD,KD1S,2CKS,
You may not play a lower odd card on a black card,9HTC,JDJS,5S9D,6D9S
You may not play a face card on a high card,QC8C,KS7D,2SJC,
You may not play a heart on a black card,3H4C,9HKD,4CJS,
You may not play a same color low card on a high card,1H9H,6CJH,2S5C,JDKD
You may not play a high odd card on a red card,JD6D,9C3S,8C7D,3S7D
You may not play a higher odd card on a different color card,9C1H,7D4H,3H3S,TH1S
You may not play a black card on a high red card,3C9D,2S5D,KS9S,TH9D
You may not play an even black card on an even card,4CQC,8SJS,3C8H,2DQS
You may not play a high odd card on a high card,JC8S,KS2D,TDTS,5SKD
You may not play a low card on a heart,2C4H,5S7S,JC7H,
